Source,Target,Type,Id,Label,timeset,Weight
76,18,Directed,312,,,3
22,18,Directed,313,,,9
53,18,Directed,314,,,8
36,18,Directed,315,,,2
95,18,Directed,316,,,1
86,18,Directed,317,,,6
52,18,Directed,318,,,1
70,18,Directed,319,,,3
33,18,Directed,320,,,1
73,18,Directed,321,,,1
69,18,Directed,322,,,2
59,18,Directed,323,,,6
28,18,Directed,324,,,4
49,18,Directed,325,,,2
14,18,Directed,326,,,3
4,18,Directed,327,,,3
38,18,Directed,328,,,4
20,18,Directed,329,,,13
6,19,Directed,330,,,2
36,19,Directed,331,,,2
95,19,Directed,332,,,14
29,19,Directed,333,,,13
52,19,Directed,334,,,7
26,19,Directed,335,,,12
28,19,Directed,336,,,6
21,19,Directed,337,,,9
98,19,Directed,338,,,10
39,19,Directed,339,,,1
35,19,Directed,340,,,2
13,19,Directed,341,,,1
37,19,Directed,342,,,3
59,19,Directed,343,,,9
55,19,Directed,344,,,10
2,19,Directed,345,,,1
47,19,Directed,346,,,7
51,19,Directed,347,,,5
63,19,Directed,348,,,16
45,19,Directed,349,,,6
79,19,Directed,350,,,2
69,19,Directed,351,,,11
43,19,Directed,352,,,4
10,19,Directed,353,,,2
3,19,Directed,354,,,5
42,19,Directed,355,,,8
58,19,Directed,356,,,9
31,19,Directed,357,,,9
101,19,Directed,358,,,7
108,19,Directed,359,,,1
20,19,Directed,360,,,8
109,19,Directed,361,,,5
4,19,Directed,362,,,1
88,19,Directed,363,,,6
12,19,Directed,364,,,14
14,19,Directed,365,,,4
38,19,Directed,366,,,16
85,19,Directed,367,,,1
74,19,Directed,368,,,19
11,19,Directed,369,,,17
89,19,Directed,370,,,5
53,19,Directed,371,,,10
103,19,Directed,372,,,14
17,19,Directed,373,,,17
27,19,Directed,374,,,1
1,19,Directed,375,,,3
22,19,Directed,376,,,25
100,19,Directed,377,,,23
67,19,Directed,378,,,6
25,19,Directed,379,,,7
9,19,Directed,380,,,6
86,19,Directed,381,,,10
54,19,Directed,382,,,16
7,19,Directed,383,,,16
61,19,Directed,384,,,16
16,19,Directed,385,,,9
56,19,Directed,386,,,16
81,19,Directed,387,,,19
92,19,Directed,388,,,15
65,19,Directed,389,,,5
99,19,Directed,390,,,18
62,19,Directed,391,,,3
71,19,Directed,392,,,3
41,19,Directed,393,,,8
77,19,Directed,394,,,6
68,19,Directed,395,,,14
82,19,Directed,396,,,5
102,19,Directed,397,,,10
78,19,Directed,398,,,8
5,19,Directed,399,,,6
49,19,Directed,400,,,5
23,19,Directed,401,,,4
44,19,Directed,402,,,2
48,19,Directed,403,,,21
60,19,Directed,404,,,10
72,19,Directed,405,,,6
76,19,Directed,406,,,3
96,19,Directed,407,,,9
73,19,Directed,408,,,12
40,19,Directed,409,,,1
15,19,Directed,410,,,1
33,19,Directed,411,,,4
88,20,Directed,412,,,2
82,20,Directed,413,,,20
41,20,Directed,414,,,4
102,20,Directed,415,,,1
28,20,Directed,416,,,9
53,20,Directed,417,,,17
69,20,Directed,418,,,2
35,20,Directed,419,,,19
2,20,Directed,420,,,6
108,20,Directed,421,,,17
5,20,Directed,422,,,4
54,20,Directed,423,,,5
89,20,Directed,424,,,2
65,20,Directed,425,,,3
54,22,Directed,426,,,3
4,22,Directed,427,,,1
108,22,Directed,428,,,1
35,22,Directed,429,,,1
2,22,Directed,430,,,3
12,22,Directed,431,,,1
60,22,Directed,432,,,1
88,22,Directed,433,,,1
44,22,Directed,434,,,1
70,22,Directed,435,,,1
41,22,Directed,436,,,1
69,22,Directed,437,,,1
23,22,Directed,438,,,2
55,22,Directed,439,,,1
72,22,Directed,440,,,1
33,22,Directed,441,,,1
103,22,Directed,442,,,1
65,22,Directed,443,,,2
14,22,Directed,444,,,1
3,22,Directed,445,,,1
53,22,Directed,446,,,3
20,22,Directed,447,,,8
29,22,Directed,448,,,2
82,22,Directed,449,,,4
5,22,Directed,450,,,3
104,22,Directed,451,,,1
86,24,Directed,452,,,1
6,24,Directed,453,,,1
27,24,Directed,454,,,1
23,24,Directed,455,,,1
59,24,Directed,456,,,1
20,25,Directed,457,,,2
59,25,Directed,458,,,1
49,25,Directed,459,,,1
23,25,Directed,460,,,1
86,25,Directed,461,,,1
98,25,Directed,462,,,1
103,25,Directed,463,,,1
38,25,Directed,464,,,2
22,25,Directed,465,,,2
16,25,Directed,466,,,1
55,25,Directed,467,,,2
13,25,Directed,468,,,1
12,25,Directed,469,,,1
48,25,Directed,470,,,2
92,25,Directed,471,,,2
109,25,Directed,472,,,1
28,25,Directed,473,,,1
67,25,Directed,474,,,1
5,25,Directed,475,,,2
74,25,Directed,476,,,2
31,25,Directed,477,,,1
41,25,Directed,478,,,1
95,25,Directed,479,,,1
43,25,Directed,480,,,1
37,26,Directed,481,,,1
41,26,Directed,482,,,9
85,26,Directed,483,,,1
95,26,Directed,484,,,7
101,26,Directed,485,,,1
35,26,Directed,486,,,4
2,26,Directed,487,,,4
52,26,Directed,488,,,2
20,26,Directed,489,,,10
42,26,Directed,490,,,3
25,26,Directed,491,,,2
65,26,Directed,492,,,3
58,26,Directed,493,,,1
53,26,Directed,494,,,5
12,26,Directed,495,,,2
29,26,Directed,496,,,3
5,26,Directed,497,,,5
104,26,Directed,498,,,1
109,26,Directed,499,,,2
79,26,Directed,500,,,5
44,26,Directed,501,,,1
55,26,Directed,502,,,2
98,26,Directed,503,,,1
70,26,Directed,504,,,2
102,26,Directed,505,,,3
88,26,Directed,506,,,4
86,26,Directed,507,,,9
59,26,Directed,508,,,3
103,26,Directed,509,,,6
51,26,Directed,510,,,2
81,26,Directed,511,,,6
22,26,Directed,512,,,2
82,26,Directed,513,,,6
71,26,Directed,514,,,2
36,26,Directed,515,,,2
28,26,Directed,516,,,3
49,26,Directed,517,,,5
14,26,Directed,518,,,3
69,26,Directed,519,,,3
54,26,Directed,520,,,7
3,26,Directed,521,,,2
96,26,Directed,522,,,5
15,26,Directed,523,,,1
73,26,Directed,524,,,2
1,26,Directed,525,,,1
27,26,Directed,526,,,1
92,26,Directed,527,,,8
21,26,Directed,528,,,3
72,26,Directed,529,,,1
4,26,Directed,530,,,3
38,26,Directed,531,,,7
67,26,Directed,532,,,5
31,26,Directed,533,,,4
74,26,Directed,534,,,5
40,26,Directed,535,,,1
80,26,Directed,536,,,1
108,26,Directed,537,,,4
89,26,Directed,538,,,6
48,26,Directed,539,,,8
47,26,Directed,540,,,1
60,26,Directed,541,,,3
45,26,Directed,542,,,3
78,26,Directed,543,,,1
90,26,Directed,544,,,2
76,26,Directed,545,,,4
33,26,Directed,546,,,2
63,30,Directed,547,,,2
69,30,Directed,548,,,4
61,30,Directed,549,,,1
29,30,Directed,550,,,1
91,30,Directed,551,,,2
100,30,Directed,552,,,2
23,30,Directed,553,,,6
54,30,Directed,554,,,1
87,30,Directed,555,,,1
62,30,Directed,556,,,1
59,30,Directed,557,,,4
40,30,Directed,558,,,1
49,30,Directed,559,,,9
36,30,Directed,560,,,1
101,30,Directed,561,,,2
15,30,Directed,562,,,3
38,30,Directed,563,,,7
19,30,Directed,564,,,3
74,30,Directed,565,,,1
53,30,Directed,566,,,12
34,30,Directed,567,,,1
26,30,Directed,568,,,1
55,30,Directed,569,,,16
47,30,Directed,570,,,1
98,30,Directed,571,,,3
67,30,Directed,572,,,2
48,30,Directed,573,,,3
13,30,Directed,574,,,2
108,30,Directed,575,,,15
86,30,Directed,576,,,7
2,30,Directed,577,,,1
7,30,Directed,578,,,2
56,30,Directed,579,,,1
18,30,Directed,580,,,1
45,30,Directed,581,,,1
92,30,Directed,582,,,5
28,30,Directed,583,,,8
95,30,Directed,584,,,3
79,30,Directed,585,,,6
60,30,Directed,586,,,6
90,30,Directed,587,,,1
102,30,Directed,588,,,2
37,30,Directed,589,,,1
32,30,Directed,590,,,1
20,30,Directed,591,,,11
73,30,Directed,592,,,2
71,30,Directed,593,,,1
103,30,Directed,594,,,3
84,30,Directed,595,,,1
77,30,Directed,596,,,5
33,30,Directed,597,,,1
68,30,Directed,598,,,1
76,30,Directed,599,,,6
5,30,Directed,600,,,1
65,30,Directed,601,,,2
22,30,Directed,602,,,8
3,30,Directed,603,,,1
52,30,Directed,604,,,8
21,30,Directed,605,,,1
41,30,Directed,606,,,3
51,30,Directed,607,,,1
