Source,Target,Type,Id,Label,timeset,Weight
110,102,Directed,342,,,4
69,102,Directed,343,,,4
125,102,Directed,344,,,4
15,102,Directed,345,,,4
136,102,Directed,346,,,4
128,102,Directed,347,,,2
53,102,Directed,348,,,10
171,102,Directed,349,,,2
12,102,Directed,350,,,2
70,102,Directed,351,,,3
35,102,Directed,352,,,2
10,102,Directed,353,,,4
29,102,Directed,354,,,12
163,102,Directed,355,,,2
2,102,Directed,356,,,2
76,102,Directed,357,,,6
77,102,Directed,358,,,3
192,102,Directed,359,,,4
82,102,Directed,360,,,2
118,102,Directed,361,,,3
148,102,Directed,362,,,4
185,102,Directed,363,,,3
18,102,Directed,364,,,12
88,102,Directed,365,,,4
193,102,Directed,366,,,3
32,102,Directed,367,,,7
129,102,Directed,368,,,2
158,103,Directed,369,,,1
6,103,Directed,370,,,1
98,103,Directed,371,,,1
72,103,Directed,372,,,1
121,103,Directed,373,,,1
107,103,Directed,374,,,1
132,103,Directed,375,,,1
66,103,Directed,376,,,1
59,107,Directed,377,,,1
52,108,Directed,378,,,1
13,108,Directed,379,,,1
151,108,Directed,380,,,1
72,108,Directed,381,,,3
153,108,Directed,382,,,1
160,108,Directed,383,,,1
69,110,Directed,384,,,1
93,111,Directed,385,,,1
72,111,Directed,386,,,1
151,111,Directed,387,,,1
67,111,Directed,388,,,1
108,111,Directed,389,,,3
26,111,Directed,390,,,2
120,111,Directed,391,,,1
79,111,Directed,392,,,1
160,111,Directed,393,,,1
22,111,Directed,394,,,1
125,114,Directed,395,,,1
142,114,Directed,396,,,1
174,114,Directed,397,,,1
133,114,Directed,398,,,1
75,114,Directed,399,,,1
95,114,Directed,400,,,1
148,125,Directed,401,,,1
4,130,Directed,402,,,2
138,133,Directed,403,,,1
47,133,Directed,404,,,1
175,133,Directed,405,,,1
99,133,Directed,406,,,1
188,133,Directed,407,,,1
33,133,Directed,408,,,1
64,133,Directed,409,,,1
85,133,Directed,410,,,1
74,133,Directed,411,,,1
72,135,Directed,412,,,1
157,135,Directed,413,,,1
123,139,Directed,414,,,1
93,139,Directed,415,,,1
60,139,Directed,416,,,1
97,139,Directed,417,,,1
24,139,Directed,418,,,1
13,139,Directed,419,,,1
86,139,Directed,420,,,1
159,139,Directed,421,,,1
144,139,Directed,422,,,1
117,139,Directed,423,,,1
17,139,Directed,424,,,1
191,139,Directed,425,,,1
122,139,Directed,426,,,1
135,139,Directed,427,,,1
189,139,Directed,428,,,1
198,139,Directed,429,,,1
65,139,Directed,430,,,1
142,139,Directed,431,,,1
11,139,Directed,432,,,1
180,139,Directed,433,,,1
63,139,Directed,434,,,1
75,139,Directed,435,,,1
101,139,Directed,436,,,1
121,139,Directed,437,,,1
126,139,Directed,438,,,1
111,139,Directed,439,,,1
55,139,Directed,440,,,1
140,139,Directed,441,,,1
3,139,Directed,442,,,1
119,139,Directed,443,,,1
48,139,Directed,444,,,1
114,139,Directed,445,,,1
170,139,Directed,446,,,1
100,139,Directed,447,,,1
116,139,Directed,448,,,1
182,139,Directed,449,,,1
5,139,Directed,450,,,1
197,139,Directed,451,,,1
184,139,Directed,452,,,1
107,139,Directed,453,,,1
92,139,Directed,454,,,1
19,139,Directed,455,,,1
26,139,Directed,456,,,1
38,139,Directed,457,,,1
132,139,Directed,458,,,1
124,139,Directed,459,,,1
45,139,Directed,460,,,1
72,139,Directed,461,,,1
91,139,Directed,462,,,1
96,139,Directed,463,,,1
59,139,Directed,464,,,1
71,139,Directed,465,,,1
176,139,Directed,466,,,1
52,139,Directed,467,,,1
84,139,Directed,468,,,1
73,139,Directed,469,,,1
57,139,Directed,470,,,1
23,139,Directed,471,,,1
164,139,Directed,472,,,1
194,139,Directed,473,,,1
